Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.21,1162,46.67,27.92,100.3343,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.21,7182,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.21,16884,69.56,6.21,102.191,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.21,364,20.67,17.87,103.4214,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.21,2338,10.8,1.25,100.7174,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.21,686,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United States,1.21,14000,59.97,0.91,97.95181,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,STORE,Colombia,1.24,6003,117.44,25.3,98.19571,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,STORE,India,1.24,10353,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,STORE,Japan,1.24,17661,100.46,3.04,99.05020999999999,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,STORE,Mexico,1.24,13978,20.67,17.87,103.4214,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,STORE,South Korea,1.24,1972,10.8,1.25,100.7174,12
ALGOT 3P TIGHTS,3,TIGHTS,RIB,STORE,China,1.36,450,9.66,-4.46,103.3074,12
ALGOT 3P TIGHTS,3,TIGHTS,RIB,STORE,Colombia,1.36,2790,117.44,25.3,98.19571,12
ALGOT 3P TIGHTS,3,TIGHTS,RIB,STORE,Turkey,1.36,8865,84.55,3.22,94.64584,12
